# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 42
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU-DL-R2
# Instrument ID: 
# Data supplier: 
# Location name: Karskov
# Position (lat, lon, elev(m)): 37, 54, 0
# Local timezone: Europe/Copenhagen
# Time Synchronization: EUROPE/BERLIN
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: 
# Measurement direction per channel: 
# Field of view (degrees): 
# Number of fields per line: 6
# SQM serial number: 0
# SQM hardware identity: B003BNCX
# SQM firmware version: 0-0-0
# SQM cover offset value: 
# SQM readout test ix (Information): 
# SQM readout test rx (Reading): 
# SQM readout test cx (Calibration): 
# SQM readout test Ix (Report Interval): 
# DL time difference: ???
# DL retrieved at (UTC): 2024-06-12T22:02:06.634
# DL trigger seconds : 0
# DL trigger minutes : 0
# DL trigger threshold : 0
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.344
# UDM setting: Logged continuously every 1 minute on the minute,Threshold = 0 mpsas.
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Counts, Frequency, MSAS
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;number;Hz;mag/arcsec^2
# END OF HEADER
2024-06-13T00:38:41.070;2024-06-13T02:38:41.070;;;;
2024-06-13T00:40:01.700;2024-06-13T02:40:01.700;;;;
2024-06-13T00:41:02.938;2024-06-13T02:41:02.938;;;;
2024-06-13T00:42:04.011;2024-06-13T02:42:04.011;;;;
2024-06-13T00:43:05.241;2024-06-13T02:43:05.241;;;;
2024-06-13T00:44:06.469;2024-06-13T02:44:06.469;;;;
2024-06-13T00:45:07.719;2024-06-13T02:45:07.719;;;;
2024-06-13T00:45:57.386;2024-06-13T02:45:57.386;;;;
2024-06-13T00:47:17.945;2024-06-13T02:47:17.945;;;;
2024-06-13T00:48:19.209;2024-06-13T02:48:19.209;;;;
2024-06-13T00:49:40.015;2024-06-13T02:49:40.015;;;;
2024-06-13T00:50:41.381;2024-06-13T02:50:41.381;;;;
2024-06-13T00:51:43.084;2024-06-13T02:51:43.084;;;;
2024-06-13T00:52:44.334;2024-06-13T02:52:44.334;;;;
2024-06-13T00:53:45.267;2024-06-13T02:53:45.267;;;;
2024-06-13T00:55:05.944;2024-06-13T02:55:05.944;;;;
2024-06-13T00:56:06.691;2024-06-13T02:56:06.691;;;;
2024-06-13T00:57:07.945;2024-06-13T02:57:07.945;;;;
2024-06-13T00:58:29.876;2024-06-13T02:58:29.876;;;;
2024-06-13T00:59:31.110;2024-06-13T02:59:31.110;;;;
2024-06-13T01:00:52.101;2024-06-13T03:00:52.101;;;;
2024-06-13T01:02:12.765;2024-06-13T03:02:12.765;;;;
2024-06-13T01:03:13.483;2024-06-13T03:03:13.483;;;;
2024-06-13T01:04:14.629;2024-06-13T03:04:14.629;;;;
2024-06-13T01:05:27.435;2024-06-13T03:05:27.435;;;;
2024-06-13T01:06:48.250;2024-06-13T03:06:48.250;;;;
2024-06-13T01:08:09.180;2024-06-13T03:08:09.180;;;;
2024-06-13T01:09:10.716;2024-06-13T03:09:10.716;;;;
2024-06-13T01:10:12.462;2024-06-13T03:10:12.462;;;;
2024-06-13T01:11:13.636;2024-06-13T03:11:13.636;;;;
2024-06-13T01:12:14.989;2024-06-13T03:12:14.989;;;;
2024-06-13T01:13:35.960;2024-06-13T03:13:35.960;;;;
2024-06-13T01:14:37.240;2024-06-13T03:14:37.240;;;;
2024-06-13T01:15:57.958;2024-06-13T03:15:57.958;;;;
2024-06-13T01:16:58.673;2024-06-13T03:16:58.673;;;;
2024-06-13T01:17:59.575;2024-06-13T03:17:59.575;;;;
2024-06-13T01:19:00.412;2024-06-13T03:19:00.412;;;;
2024-06-13T01:20:21.221;2024-06-13T03:20:21.221;;;;
2024-06-13T01:21:42.074;2024-06-13T03:21:42.074;;;;
2024-06-13T01:22:43.391;2024-06-13T03:22:43.391;;;;
2024-06-13T01:24:03.874;2024-06-13T03:24:03.874;;;;
2024-06-13T01:25:04.732;2024-06-13T03:25:04.732;;;;
2024-06-13T01:26:05.124;2024-06-13T03:26:05.124;;;;
2024-06-13T01:27:20.001;2024-06-13T03:27:20.001;;;;
2024-06-13T01:28:41.104;2024-06-13T03:28:41.104;;;;
